Target relationship: chronotype_desync -> cluster
Model Formula: Formula(cluster ~ age + chronotype_desync + patient_chronotype + sex + sri + (1|id))

                        mean     sd  hdi_3%  hdi_97%  mcse_mean  mcse_sd   ess_bulk  ess_tail  r_hat
1|id[1, 651]           0.437  0.602  -0.667    1.594      0.005    0.008  12994.614  5816.868  1.000
1|id[1, 652]          -0.672  0.581  -1.812    0.396      0.005    0.007  15693.121  5383.708  1.000
1|id[1, 654]           0.155  0.583  -0.955    1.248      0.005    0.007  15526.861  5830.439  1.001
1|id[1, 660]          -0.790  0.649  -2.026    0.413      0.005    0.008  15589.984  5633.782  1.000
1|id[1, 661]           0.020  0.626  -1.133    1.202      0.005    0.008  15030.134  5501.993  1.000
1|id[1, 663]           0.563  0.578  -0.517    1.648      0.005    0.007  15156.033  5638.795  1.000
1|id[1, 666]          -0.435  0.696  -1.742    0.890      0.006    0.010  15356.645  4741.475  1.001
1|id[1, 671]          -1.014  0.609  -2.126    0.154      0.006    0.008  12523.914  4806.971  1.000
1|id[1, 672]          -0.563  0.610  -1.756    0.537      0.005    0.008  14928.275  5403.593  1.001
1|id[1, 673]          -0.045  0.611  -1.227    1.065      0.005    0.009  17851.743  5793.514  1.000
1|id[1, 674]          -0.213  0.525  -1.231    0.755      0.004    0.007  14819.184  5953.222  1.001
1|id[1, 675]          -0.849  0.642  -2.023    0.364      0.005    0.008  16491.938  5573.451  1.003
1|id[1, 676]          -0.012  0.614  -1.178    1.131      0.005    0.008  17415.135  6144.630  1.001
1|id[1, 677]           0.139  0.624  -0.990    1.347      0.005    0.008  17824.366  5334.992  1.000
1|id[1, 683]          -0.597  0.676  -1.881    0.650      0.005    0.010  15461.487  5161.446  1.001
1|id[1, 684]           0.052  0.618  -1.114    1.219      0.005    0.008  17223.888  5479.225  1.000
1|id[1, 686]          -0.892  0.644  -2.113    0.316      0.005    0.008  15016.555  5812.512  1.002
1|id[1, 687]          -0.819  0.647  -2.057    0.389      0.005    0.009  16383.424  5220.298  1.001
1|id[1, 690]           0.188  0.603  -0.953    1.287      0.005    0.008  14389.228  5407.876  1.000
1|id[1, 695]          -0.160  0.605  -1.319    0.957      0.005    0.008  16671.955  5759.108  1.001
1|id[1, 696]           0.638  0.638  -0.517    1.881      0.005    0.008  17821.556  5495.420  1.001
1|id[1, 697]          -0.254  0.655  -1.449    1.012      0.005    0.009  17116.770  5477.681  1.002
1|id[1, 704]           0.127  0.570  -0.939    1.193      0.004    0.008  17350.941  5231.519  1.001
1|id[1, 705]           0.221  0.651  -0.979    1.437      0.005    0.009  15921.470  5890.818  1.001
1|id[1, 706]           0.185  0.588  -1.006    1.204      0.004    0.008  17327.397  5881.064  1.000
1|id[1, 707]          -0.421  0.639  -1.613    0.785      0.005    0.008  14016.467  5262.461  1.003
1|id[1, 708]           0.600  0.567  -0.513    1.637      0.005    0.007  13433.602  5756.991  1.001
1|id[1, 709]           0.386  0.748  -0.967    1.809      0.006    0.010  15621.912  5814.935  1.001
1|id[1, 710]           0.158  0.574  -0.972    1.160      0.005    0.008  15273.097  5874.111  1.001
1|id[1, 713]          -0.372  0.531  -1.358    0.623      0.004    0.007  14284.412  5699.224  1.001
1|id[1, 715]          -0.002  0.614  -1.138    1.149      0.005    0.008  14572.038  5770.765  1.001
1|id[1, 716]          -0.768  0.643  -1.949    0.440      0.005    0.008  17237.664  6457.951  1.001
1|id[1, 717]          -0.349  0.594  -1.505    0.730      0.005    0.007  16419.384  6316.284  1.001
1|id[1, 718]           0.566  0.600  -0.532    1.728      0.005    0.008  15350.505  5434.475  1.000
1|id[1, 719]           0.363  0.623  -0.768    1.561      0.005    0.008  15639.028  5787.884  1.000
1|id[1, 722]          -0.098  0.651  -1.345    1.118      0.005    0.008  15557.312  5780.990  1.000
1|id[1, 723]           0.832  0.583  -0.250    1.965      0.005    0.008  15040.555  5885.538  1.001
1|id[1, 725]          -0.387  0.709  -1.691    0.973      0.006    0.010  13911.767  5360.596  1.001
1|id[1, 727]          -0.688  0.665  -1.942    0.539      0.005    0.009  16087.024  5671.108  1.001
1|id[1, 730]           0.415  0.568  -0.651    1.469      0.004    0.007  16931.801  6063.103  1.000
1|id[1, 732]           0.113  0.610  -1.020    1.307      0.005    0.008  16327.295  5553.611  1.000
1|id[1, 733]           0.534  0.590  -0.543    1.690      0.005    0.008  14964.697  5100.956  1.002
1|id[1, 741]          -0.953  0.647  -2.198    0.236      0.005    0.008  14524.617  6051.480  1.000
1|id[1, 743]          -1.126  0.602  -2.254   -0.023      0.005    0.008  15319.111  5809.582  1.000
1|id[1, 744]           0.208  0.658  -0.978    1.486      0.005    0.008  17329.323  5834.476  1.001
1|id[1, 745]           0.254  0.607  -0.889    1.392      0.004    0.008  18254.266  5675.179  1.001
1|id[1, 756]          -0.053  0.613  -1.227    1.061      0.005    0.008  18387.813  6379.852  1.002
1|id[1, 757]          -0.108  0.561  -1.191    0.915      0.005    0.007  14915.968  6038.762  1.001
1|id[1, 783]          -0.745  0.650  -1.936    0.538      0.005    0.009  17879.188  5093.245  1.000
1|id[1, 797]          -0.149  0.594  -1.272    0.976      0.005    0.007  16845.371  5932.350  1.002
1|id[1, 803]          -0.432  0.566  -1.492    0.624      0.004    0.008  16022.394  4991.194  1.001
1|id[1, 806]          -0.788  0.587  -1.884    0.328      0.004    0.008  19050.744  5806.178  1.002
1|id[1, 807]           0.615  0.586  -0.506    1.721      0.005    0.007  15045.644  5883.813  1.001
1|id[1, 808]           0.613  0.591  -0.482    1.757      0.005    0.007  16783.409  6470.829  1.001
1|id[1, 810]          -0.339  0.625  -1.581    0.784      0.005    0.009  16227.749  5426.509  1.000
1|id[1, 815]           0.346  0.566  -0.734    1.404      0.005    0.008  15432.279  5557.505  1.001
1|id[1, 842]           0.201  0.554  -0.824    1.292      0.004    0.007  17120.039  5208.617  1.001
1|id[1, 843]           0.386  0.590  -0.644    1.559      0.004    0.009  17252.620  6004.938  1.000
1|id[1, 845]          -0.374  0.636  -1.603    0.801      0.005    0.008  14775.754  5648.592  1.000
1|id[1, 858]          -0.289  0.626  -1.456    0.884      0.005    0.008  15639.415  5971.448  1.001
